"class_name","class_type","hyperlink","freigabe","belegpflicht","lang","start_date","end_date","max_part","start_time","end_time","week_day","rhythm","parallel","lecturer","room","floor","address","building","facility"
Statistik II,Vorlesung,,J,,deutsch,,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Maik Hamjediers,Hörsaal 1 207,"2. OG                    ",Dorotheenstraße 26                                ,Institutsgebäude,Technische Abteilung (V)
"Lektüreseminar (""Ausgewählte Epochen"")",Seminar,,N,,englisch,2022-04-21,2022-07-21,,"10:00","12:00",Donnerstag,"14tgl.","14tgl.",,Seminarraum (ehem. 0109) 0007,EG                       ,Hausvogteiplatz 5-7                               ,Institutsgebäude,Technische Abteilung (V)
Algebra/Zahlentheorie und ihre Didaktik (did. Teil),Übung,,N,,deutsch,,,,"13:00","15:00",Mittwoch,"14tgl./2","14tgl./2",Thorsten Rohwedder,Seminarraum 20 1.012,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Arabisch IV,Sprachkurs,https://moodle.hu-berlin.de/course/view.php?id=110492,N,,deutsch,2022-04-21,2022-07-21,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Somar Almir Mahmoud,Seminarraum 1.03,EG                       ,Hannoversche Straße 6                             ,Fritz Strassmann-Haus,Technische Abteilung (V)
Praxiscolloquium BZQ,Colloquium,,N,,deutsch,2022-07-08,2022-07-08,,"14:00","19:00",Freitag,Einzeltermin,Einzeltermin,Sebastian Bohm,Seminarraum 3 0.03,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Praktische Geoinformationsverarbeitung und Kartographie,Seminar/Übung,,N,,deutsch,2022-06-02,2022-07-14,,"13:00","17:00",Donnerstag,wöchentlich,wöchentlich,Mohamed Ali Mohamed,Seminarraum 1.231,"1. OG                    ",Rudower Chaussee 16                               ,Alfred-Rühl-Haus,Technische Abteilung (V)
The London Flaneur,Seminar,,N,,englisch,2022-04-21,2022-07-21,,"14:00","16:00",Donnerstag,wöchentlich,wöchentlich,Jennifer Wawrzinek,Hörsaal 3075,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Comprensión de lectura/Expresión escrita (Kurs 3/4),Übung,,N,,spanisch,,,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Maria Teresa Prieto Alonso,Seminarraum 1.608,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
English Historical Linguistics and Dialectology,Seminar,,N,,englisch,2022-04-19,2022-07-19,,"16:00","18:00",Dienstag,wöchentlich,wöchentlich,Andrew McIntyre,Hörsaal (Weierstraß) 3038/035,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Seminar Inequalities,Seminar,,N,,deutsch,,,,"09:00","11:00",Freitag,wöchentlich,wöchentlich,Carsten Carstensen,Seminarraum 30 1.114,"1. OG                    ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
