"class_name","class_type","hyperlink","freigabe","belegpflicht","lang","start_date","end_date","max_part","start_time","end_time","week_day","rhythm","parallel","lecturer","room","floor","address","building","facility","txt"
Analysis II,Übung,,N,,deutsch,,,,"11:00","13:00",Mittwoch,wöchentlich,wöchentlich,Olaf Müller,Seminarraum 20 3.008,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V),"<b>Voraussetzungen</b><br>Analysis I <br><b>Gliederung / Themen / Inhalte</b><br>1. Mehrdimensionale Konvergenz und Stetigkeit<br />   1.1 Normen, Konvergenz von Folgen und Reihen<br />   1.2 Offene Mengen, abgeschlossen Mengen und Rand<br />   1.3 Konvergenz von Abbildungen<br />   1.4 Iterierte Grenzwerte<br />   1.5 Stetigen Abbildungen<br />   1.6 Stetige Funktionen auf kompakten Mengen<br />   1.7 Zusammenhang und Gebiete<br /><br />2. Mehrdimensionale  Differentialrechnung<br />    2.1 Differenzierbar und Ableitung<br />    2.2 Partielle Ableitungen und Jacobimatrix<br />    2.3 Rechenregeln für differenzierbaren<br />    2.4 Reellwertige Funktionen (Gradienten, Mittelwertsatz, höhere<br />Ableitungen)<br />    2.5 Taylor-Formel<br />    2.6 Lokale Extrema mit und ohne Nebenbedinungen<br /><br />3.  Mehrdimensionale  Integralrechnung<br />    3.1 Integrierbarkeit und Integral<br />    3.2 Integrierbarkeit-Kriterien<br />    3.3 Rechenregeln<br />    3.4 Mehrfachintegrale und der Satz von Fubini<br />    3.5 Transformationsformel<br />    3.6 Uneigentliche mehrdimensionale Integrale<br />    3.7  Kurvenintegrale. Gradientenfelder und ihre Potentiale<br />    3.8 Flächenintegrale<br />    3.9 Staz von Stokes. Satz von Gauß<br /><br /><br /><br>"
Analysis II,Übung,,N,,deutsch,,,,"09:00","11:00",Dienstag,wöchentlich,wöchentlich,,Seminarraum 30 1.011,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V),"<b>Voraussetzungen</b><br>Analysis I <br><b>Gliederung / Themen / Inhalte</b><br>1. Mehrdimensionale Konvergenz und Stetigkeit<br />   1.1 Normen, Konvergenz von Folgen und Reihen<br />   1.2 Offene Mengen, abgeschlossen Mengen und Rand<br />   1.3 Konvergenz von Abbildungen<br />   1.4 Iterierte Grenzwerte<br />   1.5 Stetigen Abbildungen<br />   1.6 Stetige Funktionen auf kompakten Mengen<br />   1.7 Zusammenhang und Gebiete<br /><br />2. Mehrdimensionale  Differentialrechnung<br />    2.1 Differenzierbar und Ableitung<br />    2.2 Partielle Ableitungen und Jacobimatrix<br />    2.3 Rechenregeln für differenzierbaren<br />    2.4 Reellwertige Funktionen (Gradienten, Mittelwertsatz, höhere<br />Ableitungen)<br />    2.5 Taylor-Formel<br />    2.6 Lokale Extrema mit und ohne Nebenbedinungen<br /><br />3.  Mehrdimensionale  Integralrechnung<br />    3.1 Integrierbarkeit und Integral<br />    3.2 Integrierbarkeit-Kriterien<br />    3.3 Rechenregeln<br />    3.4 Mehrfachintegrale und der Satz von Fubini<br />    3.5 Transformationsformel<br />    3.6 Uneigentliche mehrdimensionale Integrale<br />    3.7  Kurvenintegrale. Gradientenfelder und ihre Potentiale<br />    3.8 Flächenintegrale<br />    3.9 Staz von Stokes. Satz von Gauß<br /><br /><br /><br>"
Analysis II,Übung,,N,,deutsch,,,,"11:00","13:00",Montag,wöchentlich,wöchentlich,Olaf Müller,Seminarraum 30 3.007,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V),"<b>Voraussetzungen</b><br>Analysis I <br><b>Gliederung / Themen / Inhalte</b><br>1. Mehrdimensionale Konvergenz und Stetigkeit<br />   1.1 Normen, Konvergenz von Folgen und Reihen<br />   1.2 Offene Mengen, abgeschlossen Mengen und Rand<br />   1.3 Konvergenz von Abbildungen<br />   1.4 Iterierte Grenzwerte<br />   1.5 Stetigen Abbildungen<br />   1.6 Stetige Funktionen auf kompakten Mengen<br />   1.7 Zusammenhang und Gebiete<br /><br />2. Mehrdimensionale  Differentialrechnung<br />    2.1 Differenzierbar und Ableitung<br />    2.2 Partielle Ableitungen und Jacobimatrix<br />    2.3 Rechenregeln für differenzierbaren<br />    2.4 Reellwertige Funktionen (Gradienten, Mittelwertsatz, höhere<br />Ableitungen)<br />    2.5 Taylor-Formel<br />    2.6 Lokale Extrema mit und ohne Nebenbedinungen<br /><br />3.  Mehrdimensionale  Integralrechnung<br />    3.1 Integrierbarkeit und Integral<br />    3.2 Integrierbarkeit-Kriterien<br />    3.3 Rechenregeln<br />    3.4 Mehrfachintegrale und der Satz von Fubini<br />    3.5 Transformationsformel<br />    3.6 Uneigentliche mehrdimensionale Integrale<br />    3.7  Kurvenintegrale. Gradientenfelder und ihre Potentiale<br />    3.8 Flächenintegrale<br />    3.9 Staz von Stokes. Satz von Gauß<br /><br /><br /><br>"
Analysis II,Vorlesung,,N,,deutsch,,,,"09:00","11:00",Mittwoch,wöchentlich,wöchentlich,Olaf Müller,Hörsaal 0115,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V),"<b>Voraussetzungen</b><br>Analysis I <br><b>Gliederung / Themen / Inhalte</b><br>1. Mehrdimensionale Konvergenz und Stetigkeit<br />   1.1 Normen, Konvergenz von Folgen und Reihen<br />   1.2 Offene Mengen, abgeschlossen Mengen und Rand<br />   1.3 Konvergenz von Abbildungen<br />   1.4 Iterierte Grenzwerte<br />   1.5 Stetigen Abbildungen<br />   1.6 Stetige Funktionen auf kompakten Mengen<br />   1.7 Zusammenhang und Gebiete<br /><br />2. Mehrdimensionale  Differentialrechnung<br />    2.1 Differenzierbar und Ableitung<br />    2.2 Partielle Ableitungen und Jacobimatrix<br />    2.3 Rechenregeln für differenzierbaren<br />    2.4 Reellwertige Funktionen (Gradienten, Mittelwertsatz, höhere<br />Ableitungen)<br />    2.5 Taylor-Formel<br />    2.6 Lokale Extrema mit und ohne Nebenbedinungen<br /><br />3.  Mehrdimensionale  Integralrechnung<br />    3.1 Integrierbarkeit und Integral<br />    3.2 Integrierbarkeit-Kriterien<br />    3.3 Rechenregeln<br />    3.4 Mehrfachintegrale und der Satz von Fubini<br />    3.5 Transformationsformel<br />    3.6 Uneigentliche mehrdimensionale Integrale<br />    3.7  Kurvenintegrale. Gradientenfelder und ihre Potentiale<br />    3.8 Flächenintegrale<br />    3.9 Staz von Stokes. Satz von Gauß<br /><br /><br /><br>"
Analysis II,Vorlesung,,N,,deutsch,,,,"09:00","11:00",Montag,wöchentlich,wöchentlich,Olaf Müller,Hörsaal 0115,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V),"<b>Voraussetzungen</b><br>Analysis I <br><b>Gliederung / Themen / Inhalte</b><br>1. Mehrdimensionale Konvergenz und Stetigkeit<br />   1.1 Normen, Konvergenz von Folgen und Reihen<br />   1.2 Offene Mengen, abgeschlossen Mengen und Rand<br />   1.3 Konvergenz von Abbildungen<br />   1.4 Iterierte Grenzwerte<br />   1.5 Stetigen Abbildungen<br />   1.6 Stetige Funktionen auf kompakten Mengen<br />   1.7 Zusammenhang und Gebiete<br /><br />2. Mehrdimensionale  Differentialrechnung<br />    2.1 Differenzierbar und Ableitung<br />    2.2 Partielle Ableitungen und Jacobimatrix<br />    2.3 Rechenregeln für differenzierbaren<br />    2.4 Reellwertige Funktionen (Gradienten, Mittelwertsatz, höhere<br />Ableitungen)<br />    2.5 Taylor-Formel<br />    2.6 Lokale Extrema mit und ohne Nebenbedinungen<br /><br />3.  Mehrdimensionale  Integralrechnung<br />    3.1 Integrierbarkeit und Integral<br />    3.2 Integrierbarkeit-Kriterien<br />    3.3 Rechenregeln<br />    3.4 Mehrfachintegrale und der Satz von Fubini<br />    3.5 Transformationsformel<br />    3.6 Uneigentliche mehrdimensionale Integrale<br />    3.7  Kurvenintegrale. Gradientenfelder und ihre Potentiale<br />    3.8 Flächenintegrale<br />    3.9 Staz von Stokes. Satz von Gauß<br /><br /><br /><br>"
Writing Workshop Social Demography - Doktorandenkolloquium,Kolloquium,,N,,deutsch,2022-05-02,,,"12:00","14:00",Montag,"14tgl.","14tgl.",Anette Fasang,Seminarraum 205,"2. OG                    ",Universitätsstraße 3b                             ,Institutsgebäude,Technische Abteilung (V),"<div class="""">&nbsp;</div>
<div class="""">The writing workshop is held in english and meets on a bi-weekly basis to discuss manuscripts in progress. There are no presentations, instead participants distribute manuscripts to be read and discussed one week ahead of their discussion date. Manuscripts can cover a wide range of topics in the fields of Social Demography and Social Inequality. The writing workshop is conducted in cooperation with the research groups on &bdquo;Demography and Inequality&ldquo; and ""Work and Care&ldquo; at the WZB Berlin Social Science Center. The goal is to provide an informal peer review to prepare manuscripts for submission. Regular attendance is expected.</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>&nbsp;</strong></div>"
Lehrkompetenzen und Lehr-Lernprozesse analysieren und reflektieren,Seminar,,J,,deutsch,2022-04-22,2022-07-22,,"12:00","14:00",Freitag,wöchentlich,wöchentlich,Katja Schmitt,Seminarraum 2 0.05,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<div class=""""><strong>Bitte beachten Sie folgende Information:</strong></div>
<div class="""">Diese Veranstaltungen umfassen <strong>beide Teile</strong> des Moduls Bildungsprozesse im Sportunterricht (Lehrkompetenzen im Sportunterricht und Analyse von Lehr-Lernprozessen im Sportunterricht), sie werden somit zusammen besucht. <strong>Sie ben&ouml;tigen also nur eine der vier angegebenen Veranstaltungen</strong>.</div>
<div class="""">Die LV ist f&uuml;r das 4. FS vorgesehen, der Besuch des Unterrichtspraktikums wird vorausgesetzt.</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 1: Lehr-Lernprozesse gestalten, erproben und reflektieren.</strong></div>
<div class="""">&nbsp;</div>
<div class="""">In diesem Seminar werden wir uns ausgehend von Ihren Erfahrungen im Praxissemester besonderen Herausforderungen der Sportunterrichtsplanung widmen, neue Stunden planen und erproben (wenn die pandemische Lage es zul&auml;sst) und reflektieren. Dementsprechend besteht das Seminar aus theoretischen und praktischen Anteilen. ACHTUNG: die MAP kann urlaubsbedingt erst Mitte Oktober kontrolliert werden.</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 2</strong>: <strong>Schulfreir&auml;ume in der Ganztagsschule: Blockveranstaltung</strong><br />
<p>Im Seminar werden im ersten Teil zun&auml;chst grundlegende Kenntnisse zu Schulfreir&auml;umen (Schulhof und Freizeitr&auml;ume im Schulgeb&auml;ude) in der Ganztagsschule vermittelt. Dies beinhaltet u.a. die Themen informelles Lernen und Schulfreiraumbedarf in der Ganztagsschule. Der Fokus in diesem Seminar liegt auf der Gestaltung von Schulh&ouml;fen. Nach der Vorstellung von grundlegenden Gestaltungsprinzipien und exemplarischen Hinweisen zu Spiel- und Abenteuerpl&auml;tzen, erhalten die Teilnehmer:innen im zweiten Teil die Gelegenheit selbst Hinweise zur Gestaltung von ausgew&auml;hlten Nutzungsbereichen auf Schulh&ouml;fen vorzustellen und zu diskutieren.</p>
</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 3</strong>: <strong>Unterrichtskompetenz in besonderen Bewegungsarrangements</strong></div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 4</strong>: <strong>&#65279;Seminar</strong></div>"
Lehrkompetenzen und Lehr-Lernprozesse analysieren und reflektieren,Seminar,,J,,deutsch,2022-04-19,2022-07-23,,"09:30","11:00",Dienstag,wöchentlich,wöchentlich,Christine Oesterreich,Dreifelderhalle 1.02C,"1. OG                    ",Hannoversche Straße 27                            ,Haus 26 / Sportforschungshalle,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<div class=""""><strong>Bitte beachten Sie folgende Information:</strong></div>
<div class="""">Diese Veranstaltungen umfassen <strong>beide Teile</strong> des Moduls Bildungsprozesse im Sportunterricht (Lehrkompetenzen im Sportunterricht und Analyse von Lehr-Lernprozessen im Sportunterricht), sie werden somit zusammen besucht. <strong>Sie ben&ouml;tigen also nur eine der vier angegebenen Veranstaltungen</strong>.</div>
<div class="""">Die LV ist f&uuml;r das 4. FS vorgesehen, der Besuch des Unterrichtspraktikums wird vorausgesetzt.</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 1: Lehr-Lernprozesse gestalten, erproben und reflektieren.</strong></div>
<div class="""">&nbsp;</div>
<div class="""">In diesem Seminar werden wir uns ausgehend von Ihren Erfahrungen im Praxissemester besonderen Herausforderungen der Sportunterrichtsplanung widmen, neue Stunden planen und erproben (wenn die pandemische Lage es zul&auml;sst) und reflektieren. Dementsprechend besteht das Seminar aus theoretischen und praktischen Anteilen. ACHTUNG: die MAP kann urlaubsbedingt erst Mitte Oktober kontrolliert werden.</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 2</strong>: <strong>Schulfreir&auml;ume in der Ganztagsschule: Blockveranstaltung</strong><br />
<p>Im Seminar werden im ersten Teil zun&auml;chst grundlegende Kenntnisse zu Schulfreir&auml;umen (Schulhof und Freizeitr&auml;ume im Schulgeb&auml;ude) in der Ganztagsschule vermittelt. Dies beinhaltet u.a. die Themen informelles Lernen und Schulfreiraumbedarf in der Ganztagsschule. Der Fokus in diesem Seminar liegt auf der Gestaltung von Schulh&ouml;fen. Nach der Vorstellung von grundlegenden Gestaltungsprinzipien und exemplarischen Hinweisen zu Spiel- und Abenteuerpl&auml;tzen, erhalten die Teilnehmer:innen im zweiten Teil die Gelegenheit selbst Hinweise zur Gestaltung von ausgew&auml;hlten Nutzungsbereichen auf Schulh&ouml;fen vorzustellen und zu diskutieren.</p>
</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 3</strong>: <strong>Unterrichtskompetenz in besonderen Bewegungsarrangements</strong></div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 4</strong>: <strong>&#65279;Seminar</strong></div>"
Lehrkompetenzen und Lehr-Lernprozesse analysieren und reflektieren,Seminar,,J,,deutsch,2022-04-22,2022-07-22,,"10:00","12:00",Freitag,wöchentlich,wöchentlich,Katja Schmitt,Seminarraum 2 0.05,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<div class=""""><strong>Bitte beachten Sie folgende Information:</strong></div>
<div class="""">Diese Veranstaltungen umfassen <strong>beide Teile</strong> des Moduls Bildungsprozesse im Sportunterricht (Lehrkompetenzen im Sportunterricht und Analyse von Lehr-Lernprozessen im Sportunterricht), sie werden somit zusammen besucht. <strong>Sie ben&ouml;tigen also nur eine der vier angegebenen Veranstaltungen</strong>.</div>
<div class="""">Die LV ist f&uuml;r das 4. FS vorgesehen, der Besuch des Unterrichtspraktikums wird vorausgesetzt.</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 1: Lehr-Lernprozesse gestalten, erproben und reflektieren.</strong></div>
<div class="""">&nbsp;</div>
<div class="""">In diesem Seminar werden wir uns ausgehend von Ihren Erfahrungen im Praxissemester besonderen Herausforderungen der Sportunterrichtsplanung widmen, neue Stunden planen und erproben (wenn die pandemische Lage es zul&auml;sst) und reflektieren. Dementsprechend besteht das Seminar aus theoretischen und praktischen Anteilen. ACHTUNG: die MAP kann urlaubsbedingt erst Mitte Oktober kontrolliert werden.</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 2</strong>: <strong>Schulfreir&auml;ume in der Ganztagsschule: Blockveranstaltung</strong><br />
<p>Im Seminar werden im ersten Teil zun&auml;chst grundlegende Kenntnisse zu Schulfreir&auml;umen (Schulhof und Freizeitr&auml;ume im Schulgeb&auml;ude) in der Ganztagsschule vermittelt. Dies beinhaltet u.a. die Themen informelles Lernen und Schulfreiraumbedarf in der Ganztagsschule. Der Fokus in diesem Seminar liegt auf der Gestaltung von Schulh&ouml;fen. Nach der Vorstellung von grundlegenden Gestaltungsprinzipien und exemplarischen Hinweisen zu Spiel- und Abenteuerpl&auml;tzen, erhalten die Teilnehmer:innen im zweiten Teil die Gelegenheit selbst Hinweise zur Gestaltung von ausgew&auml;hlten Nutzungsbereichen auf Schulh&ouml;fen vorzustellen und zu diskutieren.</p>
</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 3</strong>: <strong>Unterrichtskompetenz in besonderen Bewegungsarrangements</strong></div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class="""">&nbsp;</div>
<div class=""""><strong>Gruppe 4</strong>: <strong>&#65279;Seminar</strong></div>"
Einführung in die Statistik,Übung,,N,,deutsch,,,,"12:00","16:00",Dienstag,wöchentlich,wöchentlich,Pia Knoeferle,PC-Pool 1.305,"3. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Sprach- und literaturwissenschaftliche Fakultät,"<div class="""">Dieser Kurs bietet eine Einf&uuml;hrung in Experiment-Design und Statistik. Es werden verschiedene Designs und dazugeh&ouml;rige inferenzstatistische Auswertungsverfahren besprochen. Dazu geh&ouml;ren beispielsweise Korrelationen, &nbsp;der t-Test, und Grundlagen der Varianzanalyse (ANOVA). Dieser Kurs beinhaltet die praktische Anwendung der theoretischen Kenntnisse. Mit Hilfe eines computergest&uuml;tzten Statistik-Programms werden die TeilnehmerInnen anhand von &Uuml;bungsbeispielen mit der Auswertung statistischer Daten vertraut gemacht.</div>
<div class="""">&nbsp;</div>
<div class="""">Am Ende des Kurses sollten TeilnehmerInnen:&nbsp;</div>
<div class="""">- einen &Uuml;berblick &uuml;ber grundlegende Auswertungsverfahren in Abh&auml;ngigkeit von Design und Datentyp haben</div>
<div class="""">- die Vorraussetzungen der besprochenen Auswertungsverfahren nennen und erkl&auml;ren k&ouml;nnen</div>
<div class="""">- in Abh&auml;ngigkeit von Datentyp und Design die besprochenen Auswertungsverfahren ausw&auml;hlen k&ouml;nnen</div>
<div class="""">- die besprochenen Auswertungsverfahren erl&auml;utern k&ouml;nnen</div>
<div class="""">- f&uuml;r Beispiel-Datens&auml;tze die besprochenen Auswertungsverfahren anwenden k&ouml;nnen</div>
<div class="""">&nbsp;</div>"
