"class_name","class_type","weekday"
A History of Cartoons,Seminar,"Freitag, Freitag"
Aktuelle debatter i Norge,Übung,Dienstag
Analysis II,Übung,"Mittwoch, Dienstag, Montag"
Analysis II,Vorlesung,"Montag, Mittwoch"
Analysis II (ÜWP),Übung,"Mittwoch, Dienstag, Montag"
Analysis II (ÜWP),Vorlesung,"Montag, Mittwoch"
Analysis II*,Übung,"Dienstag, Donnerstag, Freitag"
Analysis II*,Vorlesung,"Dienstag, Donnerstag"
Analysis II* (ÜWP),Übung,"Donnerstag, Dienstag, Freitag"
Analysis II* (ÜWP),Vorlesung,"Dienstag, Donnerstag"
Angewandte Mathematik I,Vorlesung,Donnerstag
Angewandte Mathematik II,Vorlesung,Donnerstag
Arabisch II,Sprachkurs,"Dienstag, Mittwoch, Montag, Donnerstag"
Arabisch IV,Sprachkurs,"Dienstag, Donnerstag, Mittwoch, Montag"
Basiskompetenz,Tutorium,"Mittwoch, Montag"
Bedeutungswandel,Seminar,Dienstag
Bewegung und Gesundheit,Seminar,"Donnerstag, Donnerstag, Montag"
Biodiversität von Parasiten,Vorlesung,Montag
Biophysik der Photosynthese,Vorlesung,Donnerstag
Bodenprozesse,Oberseminar,"Montag, Montag"
Cell Biology of parasites,Seminar,"Dienstag, Dienstag"
Cell Biology of Parasites,Praktikum,"keine Angabe, keine Angabe"
Chaucer and Shakespeare,Seminar,"Montag, Montag, Montag"
Classroom Discourse,Übung,Donnerstag
CO Abschlusscolloquium,Colloquium,Dienstag
Colloquium zur Masterarbeit,Kolloquium,Montag
Consecutive Interpreting II,Praxisorientierte Lehrveranstaltung,"Samstag, Samstag"
Crónicas de Indias,Seminar,"Dienstag, Dienstag"
Dänisch 2,Sprachkurs,"Freitag, Mittwoch"
Das Urindogermanische,Übung,Montag
Das Wort,Seminar,"Dienstag, Dienstag, Freitag, Freitag, Freitag, Dienstag, Montag"
Deep Learning for Semantics,Seminar,"Donnerstag, Donnerstag, Donnerstag, Donnerstag"
Demokratietheorie (ÜWP),Seminar,Freitag
Deutsch im Sprachkontakt,Seminar,Dienstag
Deutsche Grammatik,Übung,"Dienstag, Mittwoch, Freitag"
Didaktik der Stochastik,Übung,"Montag, Dienstag"
Didaktik der Stochastik,Vorlesung,Dienstag
Digitale Systeme,Übung,"Dienstag, Dienstag, Montag, Montag, Mittwoch, Mittwoch, Montag, Montag"
Digitale Systeme,Vorlesung,"Dienstag, Dienstag, Mittwoch, Mittwoch"
Digitale Systeme - ÜWP,Übung,"Dienstag, Dienstag, Montag, Montag, Mittwoch, Mittwoch, Montag, Montag"
Digitale Systeme - ÜWP,Vorlesung,"Dienstag, Dienstag, Mittwoch, Mittwoch"
DMS4_Gesundheit,Integrierter Theorie- und Praxiskurs,"Dienstag, Montag, keine Angabe"
DMS4_Integration,Integrierter Theorie- und Praxiskurs,"Mittwoch, Dienstag"
DMS4_Trend,Integrierter Theorie- und Praxiskurs,Donnerstag
Ebenen der Textanalyse,Vorlesung,Donnerstag
Einführung in die Statistik,Übung,Dienstag
Einführung ins Altnordische,Basiskurse,"Freitag, Freitag"
English Historical Syntax,Seminar,Freitag
English Historical Syntax,Übung,Freitag
English Syntax,Seminar,"Freitag, Freitag, Dienstag, Dienstag"
Esercizi di scrittura,Übung,Dienstag
Essay Composition,Übung,Mittwoch
Experimental Pragmatics,Seminar,Montag
Expression écrite,Übung,"Montag, Dienstag"
Facktext och textreception,Übung,Mittwoch
Fictions of Addiction,Seminar,"Mittwoch, Mittwoch, Mittwoch"
Finnisch 2,Sprachkurs,"Dienstag, Donnerstag"
Finnisch 4,Sprachkurs,"Montag, Donnerstag"
Flauberts Mythofiktionen,Seminar,"Dienstag, Dienstag"
Frankophonie,Seminar,Donnerstag
Frühneuhochdeutsch,Seminar,Dienstag
FS Algebraische Geometrie,Forschungsseminar,"Mittwoch, Mittwoch, Mittwoch"
FS Angewandte Analysis,Forschungsseminar,"Montag, Montag"
FS Arithmetische Geometrie,Forschungsseminar,"Dienstag, Dienstag"
FS Numerische Mathematik,Forschungsseminar,Mittwoch
Game Theory,Vorlesung/Übung,Donnerstag
Generalized Regression,Vorlesung/Übung,"Montag, Dienstag"
"Genre, Register and Style",Übung,Montag
Grammaire,Übung,Dienstag
Grammaire et traduction,Übung,Mittwoch
Grammar in the Classroom,Übung,"Dienstag, Donnerstag"
Grammatica,Übung,"Montag, Donnerstag"
Grammatik des Dänischen,Übung,Donnerstag
Grammatik des Norwegischen,Übung,Dienstag
Grammatik des Schwedischen,Übung,"Donnerstag, Dienstag"
Große Spiele,Integrierter Theorie- und Praxiskurs,Dienstag
Große Spiele (Handball),Vorlesung,Dienstag
Große Spielsportart,Integrierter Theorie- und Praxiskurs,"Dienstag, Montag, Mittwoch, Mittwoch, Mittwoch"
Grundkurs Linguistik,Grundkurs,"Dienstag, Donnerstag, Freitag"
Grundkurs Spracherwerb A 1,Übung,"Freitag, Freitag"
Hindi-Konversation,Sprachkurs,Dienstag
Hindi IV,Sprachkurs,"Donnerstag, Montag, Dienstag"
Historische Textanalyse,Seminar,Donnerstag
Humanbiologie,Vorlesung,Mittwoch
Immersive Medien,Übung,"Dienstag, Dienstag"
Industrial Organization,Vorlesung/Übung,Dienstag
Integration und Sport,Hauptseminar,Montag
Intercultural Textuality,Übung,Dienstag
Introduction to Linguistics,Grundkurs,"Donnerstag, Dienstag"
Isländisch 2,Sprachkurs,"Freitag, Dienstag"
Isländisch 4,Sprachkurs,"Dienstag, Freitag"
Italo Calvinos Erzählungen,Seminar,"Montag, Montag"
Kleine Spiele,Integrierter Theorie- und Praxiskurs,"Donnerstag, Donnerstag"
Kolloquium Psycholinguistik,Kolloquium,Dienstag
Kommunikation bei Tieren,Vorlesung,"Montag, Montag"
Kreatives Schreiben,Übung,Samstag
La generación del 98,Seminar,"Mittwoch, Mittwoch"
Language Change,Seminar,Dienstag
Leistungssportmedizin,Seminar,Dienstag
Lektüreübung,Übung,"Mittwoch, Mittwoch, Donnerstag, Dienstag, Donnerstag, Montag, Montag, Donnerstag, Donnerstag, Dienstag"
Litauisch,Übung,Mittwoch
Literarische Resonanzen,Seminar,"Montag, Montag"
Llengua catalana II (A2),Übung,"Mittwoch, Mittwoch"
Llengua catalana III (B1.2),Übung,"Dienstag, Dienstag"
