"eid","aikz","insertmark","teid","inst_nr","ktxt","dtxt","ltxt","aufgabe","ausstattung","bemerkung","forschungstaetig","kooperation","kostenst","drucken","veranstalter","zeitstempel","domain","externid","layoutid","inhaltsverzkz","sap_id","sap_id_parent"
10712,A,,21,"021811    ",QL-b.lab        ,"Universitätsverwaltung, Studienabteilung (I), Administration Qualitätspakt Lehre, bologna.lab",bologna.lab,,,,,,"021811              ",J,J,2014-03-14 11:01:18.693,,,,,,
11570,A,,36,,P               ,Bereich Präsident(in),Bereich Präsident(in),,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000051","50000052"
10748,A,,8,"101041    ",ÖffentlR        ,"Juristische Fakultät, Öffentliches Recht",Öffentliches Recht,,,,,,"101041              ",J,J,2022-01-19 10:49:05.805,,"101041                          ",,,"50000220","50000195"
11566,A,,8,,GenderDiver     ,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Erziehungswissenschaften, Erziehungswissenschaften mit dem Schwerpunkt Gender und Diversität",Erziehungswissenschaften mit dem Schwerpunkt Gender und Diversität,,,,,,,J,N,2022-01-19 10:49:07.391,,,,,"50000952","50000683"
11571,A,,37,,RegAn           ,"Abteilung Internationales (VI), Partnerschaften, Grundsatzfragen und Infrastruktur, Regionen & strategische Partnerschaften",Regionen & strategische Partnerschaften,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000058","50000171"
11572,A,,37,,QuerS           ,"Abteilung Internationales (VI), Partnerschaften, Grundsatzfragen und Infrastruktur, Querschnittsaufgaben",Querschnittsaufgaben,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000059","50000171"
11573,A,,37,,BUA             ,"Bereich Präsident(in), Präsidialbereich, Stabsstelle Berlin University Alliance / Matters of Activity, Berlin University Alliance",Berlin University Alliance,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000061","50000060"
11574,A,,38,,Innenrev        ,"Vizepräsident(in) für Haushalt, Personal und Technik, Innenrevision",Innenrevision,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000065","50000064"
11575,A,,38,,HugeProg        ,"Vizepräsident(in) für Haushalt, Personal und Technik, Humboldt gemeisam Programm",Humboldt gemeisam Programm,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000067","50000064"
11576,A,,10,,AkadMobSer      ,"Abteilung Internationales (VI), Akademische Mobilität und Services",Akademische Mobilität und Services,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000167","50000166"
11577,A,,37,,Incom           ,"Abteilung Internationales (VI), Akademische Mobilität und Services, Incoming",Incoming,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000168","50000167"
11578,A,,37,,Outgo           ,"Abteilung Internationales (VI), Akademische Mobilität und Services, Outgoing",Outgoing,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000169","50000167"
11579,A,,37,,EUProg          ,"Abteilung Internationales (VI), Akademische Mobilität und Services, EU Programme",EU Programme,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000170","50000167"
11580,A,,10,,PaGrInfStr      ,"Abteilung Internationales (VI), Partnerschaften, Grundsatzfragen und Infrastruktur","Partnerschaften, Grundsatzfragen und Infrastruktur",,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000171","50000166"
11581,A,,11,,IProDekLeWi     ,"Lebenswissenschaftliche Fakultät, Dekanat, Prodekan(in) für Internationales",Prodekan(in) für Internationales,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000235","50000232"
11582,A,,11,,FProDekLeWi     ,"Lebenswissenschaftliche Fakultät, Dekanat, Prodekan(in) für Forschung",Prodekan(in) für Forschung,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000236","50000232"
11583,A,,11,,ProDekForsMN    ,"Mathematisch-Naturwissenschaftliche Fakultät, Dekanat, Prodekan(in) für Forschung",Prodekan(in) für Forschung,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000348","50000345"
11567,A,,12,,Einrichtungen   ,Einrichtungen,Einrichtungen,,,,,,,N,N,2022-01-19 10:31:22.099,,,,,"00000000",
11623,A,,8,,NichtglOptim    ,"Mathematisch-Naturwissenschaftliche Fakultät, Institut für Mathematik, Nichtglatte Optimierung",Nichtglatte Optimierung,,,,,,,,,2022-03-12 00:08:53.672,,,,,"50001151","50000419"
11584,A,,11,,ProDekForsPF    ,"Philosophische Fakultät, Dekan(in) / Prodekan(in) Dekanat, Prodekan(in) für Forschung",Prodekan(in) für Forschung,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000495","50000493"
11569,A,,43,,w. Einr.        ,weitere Einrichtungen,weitere Einrichtungen,,,,,,,N,N,2022-01-19 10:33:19.510,,,,,,
8573,A,0,12,"000000    ",HU              ,Humboldt-Universität (insgesamt),Humboldt-Universität (insgesamt),,,,,,                    ,J,J,2022-01-19 10:49:05.354,,"000000                          ",,,"50000050","00000000"
11585,A,,11,,ProDekIntPF     ,"Philosophische Fakultät, Dekan(in) / Prodekan(in) Dekanat, Prodekan(in) für Internationale Angelegenheiten",Prodekan(in) für Internationale Angelegenheiten,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000496","50000493"
11586,A,,11,,ProDekFISL      ,"Sprach- und literaturwissenschaftliche Fakultät, Dekan(in) / Prodekan(in) Dekanat, Prodekan(in) für Forschung und Internationales",Prodekan(in) für Forschung und Internationales,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000564","50000561"
11587,A,,11,,ProDekForsKS    ,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Dekan(in) / Prodekan(in) Dekanat, Prodekan(in) Forschung",Prodekan(in) Forschung,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000653","50000650"
11588,A,,11,,ProDekIntKSB    ,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Dekan(in) / Prodekan(in) Dekanat, Prodekan(in) Internationales",Prodekan(in) Internationales,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000654","50000650"
11589,A,,11,,ProDekForsTF    ,"Theologische Fakultät, Dekan(in) / Prodekan(in)  Dekanat, Prodekan(in) für Forschung",Prodekan(in) für Forschung,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000796","50000793"
11590,A,,11,,ProDekForsWW    ,"Wirtschaftswissenschaftliche Fakultät, Dekan(in) / Prodekan(in)  Dekanat, Prodekan(in) für Forschung",Prodekan(in) für Forschung,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000819","50000816"
11591,A,,8,,Sozialanthro    ,"Philosophische Fakultät, Institut für Europäische Ethnologie, Sozialanthropologie mit Schwerpunkt kulturell. Ausdrucksweisen",Sozialanthropologie mit Schwerpunkt kulturell. Ausdrucksweisen,,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000954","50000541"
11592,A,,8,,GesEuropaCMB    ,"Philosophische Fakultät, Institut für Geschichtswissenschaften, Geschichte Europas 19. - 21. Jhd CMB (S)",Geschichte Europas 19. - 21. Jhd CMB (S),,,,,,,,,2022-01-19 11:00:44.919,,,,,"50000976","50000518"
8871,A,0,,"010010    ",FrBHU           ,Frauenbeauftragte der Universität,Frauenbeauftragte der Universität,,,,,,                    ,N,N,2022-01-19 10:49:05.359,,"010010                          ",,,"50000053","50000052"
8872,A,0,,"010020    ",behDSB          ,Behördliche/r Datenschutzbeauftragte/r,Behördliche/r Datenschutzbeauftragte/r,,,,,,                    ,N,N,2022-01-19 10:49:05.370,,"010020                          ",,,"50000054","50000052"
8874,A,0,,"010110    ",GremBetr        ,"Bereich Präsident(in), Präsidialbereich, Referat Gremienbetreuung",Referat Gremienbetreuung,,,,,,                    ,N,N,2022-01-19 10:49:05.376,,"010110                          ",,,"50000056","50000055"
8876,A,0,,"010130    ",StratEntw       ,"Bereich Präsident(in), Präsidialbereich, Referat für Strategieentwicklung",Referat für Strategieentwicklung,,,,,,                    ,N,N,2022-01-19 10:49:05.379,,"010130                          ",,,"50000057","50000055"
