"rtexteid","tabelle","tabpk","spalte","texteid","sprache","zeitstempel"
1,k_wochentag,2,ktxt,1,en,
2,k_wochentag,3,ktxt,2,en,
3,k_wochentag,4,ktxt,3,en,
4,k_wochentag,5,ktxt,4,en,
5,k_wochentag,6,ktxt,5,en,
6,k_wochentag,7,ktxt,6,en,
7,k_wochentag,8,ktxt,7,en,
8,k_wochentag,2,dtxt,8,en,
9,k_wochentag,3,dtxt,9,en,
10,k_wochentag,4,dtxt,10,en,
11,k_wochentag,5,dtxt,11,en,
12,k_wochentag,6,dtxt,12,en,
13,k_wochentag,7,dtxt,13,en,
14,k_wochentag,8,dtxt,14,en,
15,k_wochentag,1,dtxt,15,en,
16,k_wochentag,2,ltxt,8,en,
17,k_wochentag,3,ltxt,9,en,
18,k_wochentag,4,ltxt,10,en,
19,k_wochentag,5,ltxt,11,en,
20,k_wochentag,6,ltxt,12,en,
21,k_wochentag,7,ltxt,13,en,
22,k_wochentag,8,ltxt,14,en,
23,k_wochentag,1,ltxt,15,en,
24,veranstaltung,63,dtxt,16,en,2006-04-03 09:50:25.490
25,einrichtung,8574,ltxt,17,en,2006-04-03 10:03:58.680
26,einrichtung,8574,dtxt,18,en,2006-04-03 10:03:58.110
27,veranstaltung,148,dtxt,19,en,2006-04-07 12:21:27.342
28,veranstaltung,68,dtxt,20,en,2006-04-07 12:22:53.273
29,veranstaltung,302,dtxt,21,en,
31,veranstaltung,796,dtxt,23,en,2007-04-03 09:06:17.845
32,veranstaltung,803,dtxt,24,en,2007-04-03 09:09:49.895
35,veranstaltung,2012,dtxt,27,en,2007-07-12 14:54:10.854
36,veranstaltung,2050,dtxt,28,en,2007-07-12 14:54:16.354
37,veranstaltung,2283,dtxt,29,en,2007-07-12 14:55:48.402
38,veranstaltung,2466,dtxt,30,en,2007-09-10 14:26:01.125
39,veranstaltung,2467,dtxt,31,en,2007-09-10 14:27:26.284
40,veranstaltung,2475,dtxt,32,en,2007-09-10 14:45:12.560
41,veranstaltung,2485,dtxt,33,en,2007-09-10 15:13:28.220
42,veranstaltung,2478,dtxt,34,en,2007-09-10 15:39:00.510
43,veranstaltung,2479,dtxt,35,en,2007-09-10 15:53:49.537
44,veranstaltung,3363,dtxt,36,en,2008-01-31 18:01:35.476
728,veranstaltung,5864,dtxt,720,en,2008-09-17 13:30:52.356
46,veranstaltung,3554,dtxt,38,en,2008-02-12 15:28:04.590
47,veranstaltung,3555,dtxt,39,en,2008-02-12 15:32:08.800
48,veranstaltung,3557,dtxt,40,en,2008-02-12 15:41:26.868
49,veranstaltung,3488,dtxt,41,en,2008-02-14 10:52:35.598
752,veranstaltung,5185,dtxt,744,en,2008-09-17 15:46:14.807
51,veranstaltung,3492,dtxt,43,en,2008-02-14 10:58:10.466
756,veranstaltung,5186,dtxt,748,en,2008-09-18 10:56:39.763
53,veranstaltung,3748,dtxt,45,en,2008-03-26 10:58:49.618
54,veranstaltung,2962,dtxt,46,en,2008-04-01 14:14:19.520
55,veranstaltung,3848,dtxt,47,en,2008-04-01 15:12:46.327
757,veranstaltung,5658,dtxt,749,en,2008-09-18 11:10:35.950
758,veranstaltung,9818,dtxt,750,en,2008-09-22 16:50:42.901
759,veranstaltung,9859,dtxt,751,en,2008-09-23 13:15:11.837
59,ueberschrift,2638,txt,51,en,2008-04-01 16:00:21.134
60,ueberschrift,2643,txt,52,en,2008-04-01 16:01:19.448
61,ueberschrift,2595,txt,53,en,2008-04-01 16:01:52.329
62,ueberschrift,2596,txt,54,en,2008-04-01 16:10:04.817
63,ueberschrift,2642,txt,55,en,2008-04-01 16:11:06.318
64,veranstaltung,3941,dtxt,56,en,2008-04-09 09:31:19.675
65,veranstaltung,3954,dtxt,57,en,2008-04-09 10:25:17.735
760,veranstaltung,9860,dtxt,752,en,2008-09-23 13:57:32.693
67,veranstaltung,4018,dtxt,59,en,2008-04-14 11:48:21.251
68,ueberschrift,2923,txt,60,en,2008-04-15 11:27:52.506
69,r_hierarchie,2923,txt,61,en,2008-04-15 11:27:52.527
70,ueberschrift,2944,txt,62,en,2008-04-15 11:27:52.541
72,ueberschrift,2945,txt,64,en,2008-04-15 11:27:52.558
19388,veranstaltung,139470,dtxt,19465,en,2017-11-27 12:33:50.968
74,ueberschrift,3051,txt,66,en,2008-04-15 11:28:10.650
19389,veranstaltung,139471,dtxt,19466,en,2017-11-27 12:33:51.784
76,ueberschrift,2954,txt,68,en,2008-04-15 11:36:50.229
19390,veranstaltung,139473,dtxt,19467,en,2017-11-27 12:33:53.668
78,ueberschrift,2955,txt,70,en,2008-04-15 11:36:50.246
19576,veranstaltung,139433,dtxt,19653,en,2018-01-12 12:20:17.876
80,ueberschrift,2956,txt,72,en,2008-04-15 11:36:50.264
20055,veranstaltung,140037,dtxt,20132,en,2018-03-05 11:36:38.750
82,ueberschrift,2957,txt,74,en,2008-04-15 11:36:50.281
84,ueberschrift,2958,txt,76,en,2008-04-15 11:36:50.298
86,ueberschrift,2959,txt,78,en,2008-04-15 11:36:50.316
88,ueberschrift,2960,txt,80,en,2008-04-15 11:36:50.333
90,ueberschrift,2961,txt,82,en,2008-04-15 11:36:50.350
92,ueberschrift,2962,txt,84,en,2008-04-15 11:36:50.366
94,ueberschrift,2963,txt,86,en,2008-04-15 11:36:50.384
764,veranstaltung,9959,dtxt,756,en,2008-09-24 15:49:23.299
97,r_hierarchie,2924,txt,89,en,2008-04-15 11:55:06.163
765,veranstaltung,9982,dtxt,757,en,2008-09-25 12:42:02.965
766,veranstaltung,10268,dtxt,758,en,2008-09-30 12:43:07.553
767,veranstaltung,10059,dtxt,759,en,2008-09-30 13:10:31.361
18993,veranstaltung,137938,dtxt,19070,en,2017-11-02 13:54:25.602
768,veranstaltung,10002,dtxt,760,en,2008-09-30 13:46:13.417
769,veranstaltung,10060,dtxt,761,en,2008-09-30 13:47:22.964
770,veranstaltung,10004,dtxt,762,en,2008-09-30 13:48:20.986
110,ueberschrift,2978,txt,102,en,2008-04-15 11:58:56.246
111,r_hierarchie,2978,txt,103,en,2008-04-15 11:58:56.256
112,ueberschrift,2979,txt,104,en,2008-04-15 11:58:56.264
19577,einrichtung,11444,dtxt,19654,en,2018-01-16 04:34:17.562
114,ueberschrift,2980,txt,106,en,2008-04-15 11:58:56.289
19578,einrichtung,11443,dtxt,19655,en,2018-01-16 04:34:17.574
116,ueberschrift,2983,txt,108,en,2008-04-15 11:58:56.307
117,r_hierarchie,2983,txt,109,en,2008-04-15 11:58:56.316
122,ueberschrift,2987,txt,114,en,2008-04-15 12:02:24.100
19579,einrichtung,11443,ltxt,19656,en,2018-01-16 04:34:17.581
124,ueberschrift,2988,txt,116,en,2008-04-15 12:02:24.180
19580,einrichtung,11444,ltxt,19657,en,2018-01-16 04:34:17.588
126,ueberschrift,3062,txt,118,en,2008-04-15 12:02:24.380
20056,ueberschrift,142915,txt,20133,en,2018-03-05 16:34:48.400
138,veranstaltung,3749,dtxt,130,en,2008-04-15 13:14:21.681
141,veranstaltung,3839,dtxt,133,en,2008-04-15 13:18:08.104
143,veranstaltung,3965,dtxt,135,en,2008-04-15 13:20:42.521
144,ueberschrift,3052,txt,136,en,2008-04-15 13:53:56.288
20057,ueberschrift,142939,txt,20134,en,2018-03-05 16:34:49.832
146,ueberschrift,3053,txt,138,en,2008-04-15 13:53:56.306
20058,ueberschrift,142976,txt,20135,en,2018-03-05 16:34:52.360
149,veranstaltung,3788,dtxt,141,en,2008-04-15 13:58:52.260
150,veranstaltung,3789,dtxt,142,en,2008-04-15 14:00:35.111
153,veranstaltung,3801,dtxt,145,en,2008-04-15 15:31:24.816
155,veranstaltung,3808,dtxt,147,en,2008-04-15 15:32:52.564
156,veranstaltung,3809,dtxt,148,en,2008-04-15 15:33:28.930
771,veranstaltung,10259,dtxt,763,en,2008-09-30 13:48:57.483
162,veranstaltung,3849,dtxt,154,en,2008-04-15 16:17:12.325
163,veranstaltung,3850,dtxt,155,en,2008-04-15 16:17:41.980
772,veranstaltung,10011,dtxt,764,en,2008-09-30 13:52:02.347
773,veranstaltung,10009,dtxt,765,en,2008-09-30 13:52:46.730
774,veranstaltung,10061,dtxt,766,en,2008-09-30 14:00:20.994
775,veranstaltung,10344,dtxt,767,en,2008-10-02 10:00:43.122
776,veranstaltung,6345,dtxt,768,en,2008-10-02 15:23:35.913
777,veranstaltung,6355,dtxt,769,en,2008-10-02 15:24:05.770
778,veranstaltung,6359,dtxt,770,en,2008-10-02 15:25:23.560
779,veranstaltung,6362,dtxt,771,en,2008-10-02 15:25:52.952
780,veranstaltung,6369,dtxt,772,en,2008-10-02 15:26:26.963
781,veranstaltung,6374,dtxt,773,en,2008-10-02 15:26:27.350
782,veranstaltung,6376,dtxt,774,en,2008-10-02 15:27:15.760
783,veranstaltung,6377,dtxt,775,en,2008-10-02 15:27:56.514
784,veranstaltung,6381,dtxt,776,en,2008-10-02 15:27:56.558
717,veranstaltung,5850,dtxt,709,en,2008-09-17 13:26:43.317
727,veranstaltung,5863,dtxt,719,en,2008-09-17 13:30:33.791
731,veranstaltung,5867,dtxt,723,en,2008-09-17 13:31:54.722
741,veranstaltung,5888,dtxt,733,en,2008-09-17 13:38:14.487
746,veranstaltung,5827,dtxt,738,en,2008-09-17 14:01:22.142
711,veranstaltung,5844,dtxt,703,en,2008-09-17 13:24:45.213
720,veranstaltung,5854,dtxt,712,en,2008-09-17 13:27:56.347
726,veranstaltung,5861,dtxt,718,en,2008-09-17 13:30:01.615
