"texteid","txt","zeitstempel"
1,Mon,
2,Tue,
3,Wed,
4,Thu,
5,Fri,
6,Sat,
7,Sun,
8,Monday,
9,Tuesday,
10,Wednesday,
11,Thursday,
12,Friday,
13,Saturday,
14,Sunday,
15,Unknown,
16,Legal History II,2006-04-03 09:50:25.451
17,Faculty of Law,2006-04-03 10:03:58.640
18,Faculty of Law,2006-04-03 10:03:58.960
19,Civil Law basic course I,2006-04-07 12:21:27.317
20,Legal History of the Ancient World,2006-04-07 12:22:53.268
21,Legal History II,
23,Legal History of the Ancient World,2007-04-03 09:06:17.839
24,Civil Law basic course I,2007-04-03 09:09:49.889
19644,From Chinese stories to written language,2018-01-05 15:37:09.590
703,Written language acquisition: learning analysis and studying \t\t\tobservation,2008-09-17 13:24:45.211
28,Civil Law basic course I,2007-07-12 14:54:16.347
29,Legal History II,2007-07-12 14:55:48.394
30,Economic Geography,2007-09-10 14:26:01.121
31,Economic Geography,2007-09-10 14:27:26.279
32,Climatology,2007-09-10 14:45:12.555
33,Climatology,2007-09-10 15:13:28.180
34,Methods in Physical Geography - rock identification,2007-09-10 15:39:00.460
35,Methods in Human Geography,2007-09-10 15:53:49.533
36,Legal History II,2008-01-31 18:01:35.426
712,Measurement: The development of size idea,2008-09-17 13:27:56.345
39,European Company Law,2008-02-12 15:32:08.796
38,European Contract Law,2008-02-12 15:39:55.905
40,Banking Contract Law,2008-02-12 15:41:26.864
718,Acquisition of culture and social scientific decision-making competence \t\tin local social studies/elementary science I,2008-09-17 13:30:01.613
41,Juristischea Arbeiten eng,2008-02-14 10:55:08.628
43,"Future: Cyann - Presentation, Rhetorics, Self-Organizing",2008-02-14 10:58:10.455
744,Education - State - Public,2008-09-17 15:46:14.759
46,testblablub,2008-04-01 14:14:18.994
47,International test,2008-04-01 15:12:46.324
51,Institute of Social Sciences,2008-04-01 16:00:21.131
52,A Introduction,2008-04-01 16:01:19.444
53,C Methods,2008-04-01 16:01:52.325
748,&quot;Welfares Double Face&quot; - Reconstructions from an Educational and Historical Perspective,2008-09-18 11:01:14.938
749,Educational Statistics II - Practical Exercises,2008-09-18 11:10:53.379
56,Generative Behaviour in Germany and Europe,2008-04-09 09:31:19.623
57,The Investigation of Occupational Transitions using Event History Methods,2008-04-09 10:25:17.731
750,Economic Geography,2008-09-22 16:50:42.882
59,"Migration, Milieus, and Identity: Immigrants in Germany",2008-04-14 11:48:30.149
751,Preparational course for candidates taking the Staatsexamen,2008-09-23 13:15:11.791
752,Beginning and End of Life,2008-09-23 13:57:32.689
756,Economic Geography,2008-09-24 15:49:23.250
757,Motivation and promotion of motivation in school,2008-09-25 12:42:02.915
758,Motivation and promotion of motivation in school,2008-09-30 12:43:07.510
759,Motivation and promotion of motivation,2008-09-30 13:10:31.358
762,Research topics in Educational Psychology,2008-09-30 13:48:20.983
763,Research topics in Educational Psychology,2008-09-30 13:48:57.480
66,ERASMUS-Courses,2008-04-15 11:28:17.867
68,Modul 1: Introduction to Linguistics,2008-04-15 11:36:50.225
70,Modul 4: Text and Discourse I,2008-04-15 11:36:50.243
72,Modul 5: Historical Linguistics,2008-04-15 11:36:50.261
74,Modul 6: Language Change,2008-04-15 11:36:50.278
764,Prevention of psychosocial deficits by strenghthening personal competencies,2008-09-30 13:52:02.344
82,Modul 10: German Grammar III,2008-04-15 11:36:50.346
84,Modul 11: Text and Discourse II,2008-04-15 11:36:50.363
86,Modul 13: Prakticall skills,2008-04-15 11:36:50.381
89,Modul 1: Introduction to Linguistics,2008-04-15 11:55:06.160
76,Modul 7: Processes in Speech Communication/Compulsory Option Modules,2008-04-15 11:56:26.204
19070,The Book of Jeremiah,2017-11-02 13:54:25.565
78,Modul 8: Second Language Acquisition / Compulsory Option Modules,2008-04-15 11:56:26.215
19646,Basic Course Old Testament (GS - H 090[SO 2011]/091[SO 2017]; BA[B]AToH/mH),2018-01-08 10:26:49.341
80,Modul 9: Linguistics Variation / Compulsory Option Modules,2008-04-15 11:56:26.226
102,Modul 1: Introduction to General Linguistics,2008-04-15 11:58:56.243
103,Modul 1: Introduction to General Linguistics,2008-04-15 11:58:56.253
104,Modul 2:  Introduction to Historical Linguistics,2008-04-15 11:58:56.261
106,History of German,2008-04-15 11:58:56.278
108,Indo-European Linguistics,2008-04-15 11:58:56.303
109,Indo-European Linguistics,2008-04-15 11:58:56.313
130,German Grammar,2008-04-15 13:14:21.678
760,Introduction Health Psychology,2008-09-30 13:53:11.728
135,Research Methods and Techniques,2008-04-15 13:20:42.517
761,Introduction to the psychology of learning and thinking,2008-09-30 13:57:40.442
766,Violence in school - intervention and prevention approaches,2008-09-30 14:00:20.991
765,Psychology of health promotion,2008-09-30 14:02:45.270
767,Model European Union Conference (MEUC) - Simulation of the  European Court of Justice I (in german language),2008-10-02 10:00:43.780
136,Germanistic Linguistics,2008-04-15 13:54:05.878
138,History of German,2008-04-15 13:54:05.889
768,Introduction to business education and training,2008-10-02 15:23:35.869
133,Tools for linguistic reseach,2008-04-15 15:36:11.318
154,The Syntax-Semantics Interface,2008-04-15 16:17:12.322
155,Formal syntactic theories,2008-04-15 16:17:41.950
142,An Introduction to Historical Grammar of German Language,2008-04-16 11:07:41.853
769,Introduction to business education and training,2008-10-02 15:24:05.767
770,Learning within working-situations,2008-10-02 15:25:23.553
23976,Church Conflict in Ukraine,2020-11-14 11:48:13.692
771,Learning within working-situations,2008-10-02 15:25:52.949
772,Diagnostics in processes of vocational education and training,2008-10-02 15:26:26.960
773,Diagnostics in processes of vocational education and training,2008-10-02 15:26:27.330
774,Internal Evaluation in institutions of vocational education and training,2008-10-02 15:27:15.720
775,Controlling in educational institutions,2008-10-02 15:27:56.511
