"ueid","insertmark","aikz","eid","txt","hinweis","drucken","belegpflicht","quellid","zeitstempel","headerentry","externid"
217841,,A,,Masterseminare,,J,,207309,2021-07-29 14:01:00.914,,
217842,,A,,"4. Semester",,J,,208650,2021-07-29 14:01:00.969,,
217843,,A,,Psychologische Leistungsdiagnostik,,J,,208651,2021-07-29 14:01:01.100,,
217844,,A,,Sehbehindertenpädagogik,,J,,207320,2021-07-29 14:01:01.510,,
217845,,A,,Geben Sie hier Ihre Fachrichtungen IIa und IIb an (nur für Kombinationsvariante B und C),,J,,208652,2021-07-29 14:01:01.840,,
217846,,A,,Statistik in den Rehabilitationswissenschaften,,J,,207321,2021-07-29 14:01:01.124,,
217847,,A,,M2b: Thematisch - regionale Geographie (2. Fach),,J,,207322,2021-07-29 14:01:01.156,,
217848,,A,,Körperbehindertenpädagogik,,J,,208653,2021-07-29 14:01:01.190,,
217849,,A,,Verhaltensgestörtenpädagogik,,J,,208654,2021-07-29 14:01:01.224,,
217850,,A,,Audiopädagogik,,J,,207323,2021-07-29 14:01:01.259,,
217851,,A,,FM 17 (N): Plant Biotechnology (WiSe),,J,,207324,2021-07-29 14:01:01.295,,
217852,,A,,Verhaltensgestörtenpädagogik,,J,,208655,2021-07-29 14:01:01.330,,
217853,,A,,"4. und 5. Semester",,J,,207325,2021-07-29 14:01:01.367,,
217854,,A,,Körperbehindertenpädagogik,,J,,208656,2021-07-29 14:01:01.412,,
217855,,A,,Masterstudiengang Afrikawissenschaften,,J,,207326,2021-07-29 14:01:01.448,,
217856,,A,,Grundlagen der Untersuchungsgestaltung in Diagnostik und Forschung (VL),,J,,208657,2021-07-29 14:01:01.484,,
217857,,A,,Kernfach,,J,,207327,2021-07-29 14:01:01.521,,
217858,,A,,Lernbehindertenpädagogik,,J,,208658,2021-07-29 14:01:01.559,,
217859,,A,,FM 26: Topics in Agricultural and Food Policy (WiSe & SoSe),,J,,207317,2021-07-29 14:01:01.597,,
217860,,A,,Sprachbehindertenpädagogik,,J,,208648,2021-07-29 14:01:01.638,,
217861,,A,,BA RP 16.3 Verschiedene Themen (z.B. Teilhabeförderung  durch technische Hilfsmittel) (SE) (4439),,J,,208649,2021-07-29 14:01:01.673,,
217862,,A,,Obligatorisch,,J,,207318,2021-07-29 14:01:01.709,,
217863,,A,,B.Sc. BIOLOGIE Kernfach (SO/PO 2015),,J,,207319,2021-07-29 14:01:01.745,,
217864,,A,,Modul 4: Einführung in die Klimatologie,,J,,208660,2021-07-29 14:01:01.804,,
217865,,A,,Modul 6: Wahlpflichtmodul (es sind Module im Umfang von 30 LP zu belegen),,J,,208661,2021-07-29 14:01:01.840,,
217866,,A,,Modul 8: Kommunikation und Sprache,,J,,207330,2021-07-29 14:01:01.876,,
217867,,A,,Modul P 9: Professionalisierung,,J,,207331,2021-07-29 14:01:01.912,,
217868,,A,,BA SP M 7/8/8a/8b Förderschwerpunkt Geistige Entwicklung (4487),,J,,208662,2021-07-29 14:01:01.949,,
217869,,A,,Modul 15: Fachdidaktik Englisch,,J,,207332,2021-07-29 14:01:01.984,,
217870,,A,,MED SP GH 2.2 Didaktisch-methodische und diagnostische Fragestellungen unter besonderer Berücksichtigung des Förderschwerpunkts Hören und Kommunikation (SE) (2539),,J,,208663,2021-07-29 14:01:02.370,,
217871,,A,,Modul 9 - Bachelorabschluss,,J,,207333,2021-07-29 14:01:02.730,,
217872,,A,,Forschungskolloquium,,J,,208664,2021-07-29 14:01:02.107,,
217873,,A,,Aufbaukurs Gesellschaft/Transformation (Modul 11),,J,,208665,2021-07-29 14:01:02.145,,
217874,,A,,Schwerhörigenpädagogik,,J,,207334,2021-07-29 14:01:02.180,,
217875,,A,,FWM E 35: Spezielle gartenbauliche Pflanzenzüchtung (WiSe + SoSe),,J,,208666,2021-07-29 14:01:02.220,,
217877,,A,,Grundlagen der Untersuchungsgestaltung in Diagnostik und Forschung (VL),,J,,208667,2021-07-29 14:01:02.283,,
217878,,A,,System der Rehabilitation und der psychosozialen Versorgung (VL),,J,,207336,2021-07-29 14:01:02.315,,
217879,,A,,Forschungskolloquium,,J,,208668,2021-07-29 14:01:02.361,,
217880,,A,,Sprachbehindertenpädagogik,,J,,207337,2021-07-29 14:01:02.397,,
217881,,A,,Sprachbehindertenpädagogik,,J,,208669,2021-07-29 14:01:02.432,,
217882,,A,,Schriftspracherwerb unter erschwerten Bedingungen,,J,,207338,2021-07-29 14:01:02.467,,
217884,,A,,MA GSD Fachterminologie II (2249),,J,,208659,2021-07-29 14:01:02.537,,
217885,,A,,FM 8 (I): Effects of Plant Nutrition and Other Environmental Factors on Composition and Quality of Vegetable and Ornamental Plants (SoSe),,J,,207328,2021-07-29 14:01:02.571,,
217886,,A,,FWM E 8: Bioinformatik für Tier- und Pflanzenwissenschaften (WiSe),,J,,206006,2021-07-29 14:01:02.605,,
217887,,A,,Audiopädagogik,,J,,207329,2021-07-29 14:01:02.643,,
217888,,A,,Sehbehindertenpädagogik,,J,,206005,2021-07-29 14:01:02.675,,
217891,,A,,Forschungsseminare,,J,,206002,2021-07-29 14:01:02.773,,
217892,,A,,Modul 12: Fachrichtungsspezifische Vertiefung,,J,,206001,2021-07-29 14:01:02.805,,
217893,,A,,B.Sc. Gartenbauwissenschaften,,J,,206000,2021-07-29 14:01:02.841,,
217894,,A,,Sehbehindertenpädagogik,,J,,208670,2021-07-29 14:01:02.877,,
217896,,A,,"Modul 5: Planung, Durchführung und Reflexion von Englischunterricht (Schulpraktikum)",,J,,208671,2021-07-29 14:01:02.947,,
217898,,A,,Sehbehindertenpädagogik,,J,,207341,2021-07-29 14:01:03.380,,
217899,,A,,"Lehramtsmaster Schwerpunkt ""Lehramt an Integrierten Sekundarschulen und Gymnasien"" StO 2018",,J,,207342,2021-07-29 14:01:03.670,,
