"veranstid","verart","verartid","aikz","veranstnr","veranstnrint","ktxt","dtxt","ltxt","sws","semester","erwartteilnehmer","teilnehmermax","druck_vvz","zeitstempel","lehrmethoden","voraussetzung","verweise","pruefungsstoff","credits","kommentar","bemerkung","literatur","hyperlink","uebernrhythm","veranststatusid","pruefmoegl","freigabe","publish","belegpflicht","geschl","unterrsprache","praesenzzeit","art_praesenzzeit","ssz","studienjahr","kosten","externperson","externinst","evalartid","externid","fachuebergreifend_kz","curricular_kz","sichtbar","verformatid"
194316,,236,A,,,,"""Team- und Führung""",,3.0,20221,,,J,2022-02-02 12:11:17.180,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,4
194317,,236,A,,,,"""Team- und Führung""",,3.0,20221,,,J,2022-02-02 12:13:05.669,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,4
193846,,353,A,"10765               ",,,Mechanisms for the Enforcement of International Criminal Law,,2.0,20221,,,J,2022-02-02 12:28:34.643,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110502,,4,,N,,N,,2,,,,,,,,,,,,,3
194328,,113,A,"5240431Ü            ",,,Inklusion und Heterogenität im Spanischunterricht,,2.0,20221,,,J,2022-02-02 14:02:01.615,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194327,,113,A,"5240430Ü            ",,,Problemfelder des Fremdsprachenlehrens und &#8211;lernens: Mehrsprachigkeit und Mehrkulturalität im Fremdsprachenunterricht,,2.0,20221,,,J,2022-02-02 14:00:40.860,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194324,,113,A,"5240422Ü            ",,,Perspektiven fremdsprachendidaktischer Forschung: Dramen- und Dramapädagogik,,2.0,20221,,,J,2022-02-02 13:57:37.926,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194322,,113,A,"5240426Ü            ",,,Perspektiven fremdsprachendididaktischer Forschung: Bilingualer Unterricht,,2.0,20221,,,J,2022-02-02 13:54:46.292,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194321,,113,A,"5240421Ü            ",,,Perspektiven fremdsprachendidaktischer Forschung: Städte,,2.0,20221,,,J,2022-02-02 13:53:22.805,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194320,,113,A,"5240425Ü            ",,,Inklusion und Heterogenität im Französisch- und Italienischunterricht,,2.0,20221,,,J,2022-02-02 13:51:38.730,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
192104,,329,A,"10907               ",,,"FRS Russisch: Schuldrecht BT, Gesetzliche Schuldverhältnisse, IPR und Recht des geistigen Eigentums (Modul 4)",,4.0,20221,,,J,2022-02-02 16:30:12.287,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110200,2,4,,N,,J,,7,,,,,,,,,,,,,1
194332,,421,A,"2739663             ",,,"""Öffentlich sprechen  - für potenzielle Berufsredner_innen""",,3.0,20221,,,J,2022-02-03 11:32:58.272,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,,4
194333,,113,A,"53842               ",,,Sexualisierte Gewalt &#8211; Chancen und Herausforderungen außer/gerichtlicher Aufarbeitungsprozesse,,2.0,20221,,,J,2022-02-03 12:36:27.489,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
192785,,419,A,"3312100             ",,,Resonante Räume,,4.0,20221,,,J,2022-02-03 14:39:39.390,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
191101,,361,A,"20176               ",,,Advanced Environmental and Resource Economics: Environmental Institutions and Governance,,4.0,20221,,,J,2022-02-03 14:56:29.729,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110105,2,4,,N,,N,,2,,,,,,,,,,,,,3
194335,,236,A,"5220040Ü            ",,,Morphologie,,2.0,20221,,,J,2022-02-04 10:51:00.984,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194336,,236,A,"5220043Ü            ",,,Syntax,,2.0,20221,,,J,2022-02-04 10:58:29.974,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194337,,236,A,"5220009Ü            ",,,Ebenen der Textanalyse,,2.0,20221,,,J,2022-02-04 11:01:53.803,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194341,,113,A,"5220028Ü            ",,,Semantik,,2.0,20221,,,J,2022-02-04 12:58:42.838,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,1
194342,,113,A,"5220029Ü            ",,,Syntax,,2.0,20221,,,J,2022-02-04 13:07:31.521,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,1
194343,,4,A,"5220030Ü            ",,,Einführung in die Statistik,,4.0,20221,,,J,2022-02-04 13:11:11.664,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,1
194344,,113,A,"5220051Ü            ",,,Situational language processing in the brain,,2.0,20221,,,J,2022-02-04 13:17:35.476,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
194348,,113,A,"5220083Ü            ",,,Altenglisch,,2.0,20221,,,J,2022-02-04 13:39:36.377,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194351,,332,A,"3313098             ",,,Simulation Peer Review,,1.0,20221,,,J,2022-02-25 08:15:10.977,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
194352,,236,A,"2112013             ",,,Mikrobiologie für Halbmodul Bio9/Bioph13 H,,3.0,20221,,,J,2022-02-08 17:58:34.341,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,,3
194356,,434,A,"5519048             ",,,DMS3_Bewegungsformen und Spiele erweitern und vertiefen,,2.0,20221,,,J,2022-02-04 18:00:40.885,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
193699,,4,A,"5240360Ü            ",,,Mündlicher Ausdruck und Hörverstehen A2,,4.0,20221,,,J,2022-01-14 11:53:31.544,,,,,,,,,,0,4,,N,,J,,24,,,,,,,,,,,,,1
191446,,113,A,"54149               ",,,"Modul 6a (Bachelor; SU): Konzeptionen und Theorien des Sachunterrichts und seiner Didaktik - Vertiefung Didaktik Sachunterricht | SE Erkenntnis-, Bildungs- und Lerntheorien im Kontext der Sachunterrichtsdidaktik",,2.0,20221,,,J,2022-02-05 08:06:11.996,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,2
194340,,236,A,"5220011Ü            ",,,Zweitspracherwerb und Mehrsprachigkeit,,2.0,20221,,,J,2022-02-04 11:10:22.175,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194350,,113,A,"5220097Ü            ",,,Altpreußisch,,2.0,20221,,,J,2022-02-04 13:45:24.591,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
193700,,4,A,"5240363Ü            ",,,Textlektüre A2/B1,,2.0,20221,,,J,2022-01-14 11:54:44.103,,,,,,,,,,0,4,,N,,J,,24,,,,,,,,,,,,,1
194345,,113,A,"5220052Ü            ",,,Der Fragebogen als Erhebungsinstrument der Linguistik,,2.0,20221,,,J,2022-02-04 14:55:35.902,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194349,,113,A,"5220086Ü            ",,,Jungavestisch,,2.0,20221,,,J,2022-02-04 13:42:41.965,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
